event,x,y,speed,button,time,scroll,session_id
click_press,1893,13,,Button.left,1736581561.5939918,,1736581533
move,1893,13,0.0,,1736581561.6478515,,1736581533
click_release,1893,13,,Button.left,1736581561.6488438,,1736581533
move,1891,13,2.78134287877964,,1736581562.365926,,1736581533
move,1891,14,143.13565163976384,,1736581562.3739057,,1736581533
move,1891,15,45.58629684375272,,1736581562.3948488,,1736581533
move,1891,16,77.13520670884213,,1736581562.407813,,1736581533
move,1889,19,328.64173628485116,,1736581562.419781,,1736581533
move,1888,21,149.38119365283,,1736581562.4347422,,1736581533
move,1888,23,502.22163683170686,,1736581562.4387314,,1736581533
move,1886,25,354.44527048196727,,1736581562.4457152,,1736581533
move,1886,29,182.30952122226327,,1736581562.4686508,,1736581533
move,1886,30,111.44097563567766,,1736581562.4766293,,1736581533
move,1885,31,50.64065841542638,,1736581562.5045557,,1736581533
move,1878,36,2156.908612915947,,1736581562.508544,,1736581533
move,1868,44,12828.588297856006,,1736581562.5095422,,1736581533
move,1842,65,8375.463976516086,,1736581562.5135326,,1736581533
move,1802,88,2312.37678037424,,1736581562.5344741,,1736581533
move,1731,127,82029.09555262359,,1736581562.5354729,,1736581533
move,1638,175,14986.736680931504,,1736581562.5424542,,1736581533
move,1538,226,3126.6810475450243,,1736581562.5773594,,1736581533
move,1449,271,99927.47371103283,,1736581562.5783575,,1736581533
move,1369,307,87984.95285035808,,1736581562.5803509,,1736581533
move,1304,340,36533.99052341676,,1736581562.5813498,,1736581533
move,1251,364,6482.686404450403,,1736581562.5913227,,1736581533
move,1207,386,24616.138746192333,,1736581562.593317,,1736581533
move,1174,401,2019.5781807007536,,1736581562.610272,,1736581533
move,1150,410,25738.19661359849,,1736581562.6122656,,1736581533
move,1133,414,1750.0148186010185,,1736581562.6222384,,1736581533
move,1116,419,17879.060918656683,,1736581562.6232374,,1736581533
move,1103,420,3267.8239288857,,1736581562.6262283,,1736581533
move,1092,421,851.7669037659974,,1736581562.6401906,,1736581533
