key,event,time,press_duration,release_time,inter_key_interval,session_id
g,press,1736581554.7323444,0.000997304916381836,1736581554.7333417,0.0029921531677246094,1736581533
d,press,1736581554.7473044,0.0009987354278564453,1736581554.7483032,0.013962745666503906,1736581533
g,press,1736581554.8899264,0.000995635986328125,1736581554.890922,0.14162325859069824,1736581533
w,press,1736581554.9318116,0.0009958744049072266,1736581554.9328074,0.04088950157165527,1736581533
s,press,1736581555.0265584,0.0009963512420654297,1736581555.0275548,0.0937509536743164,1736581533
d,press,1736581555.0684464,0.0009965896606445312,1736581555.069443,0.04089164733886719,1736581533
g,press,1736581555.0854003,0.0009965896606445312,1736581555.086397,0.015957355499267578,1736581533
h,press,1736581555.2110658,0.0009953975677490234,1736581555.2120612,0.12466883659362793,1736581533
s,press,1736581555.2290165,0.0009968280792236328,1736581555.2300134,0.01695537567138672,1736581533
g,press,1736581555.232008,0.0009980201721191406,1736581555.233006,0.001994609832763672,1736581533
a,press,1736581555.2340026,0.000997304916381836,1736581555.235,0.0009965896606445312,1736581533
g,press,1736581555.3277526,0.0009968280792236328,1736581555.3287494,0.09275269508361816,1736581533
d,press,1736581555.342719,0.0019898414611816406,1736581555.344709,0.013969659805297852,1736581533
h,press,1736581555.4424477,0.0019922256469726562,1736581555.44444,0.09773874282836914,1736581533
a,press,1736581555.4743598,0.0009970664978027344,1736581555.4753568,0.029919862747192383,1736581533
s,press,1736581555.5072725,0.0009958744049072266,1736581555.5082684,0.03191566467285156,1736581533
d,press,1736581555.5701056,0.000995635986328125,1736581555.5711012,0.061837196350097656,1736581533
h,press,1736581555.6698377,0.0019936561584472656,1736581555.6718314,0.09873652458190918,1736581533
s,press,1736581555.7436388,0.0009970664978027344,1736581555.7446358,0.0718073844909668,1736581533
a,press,1736581555.745634,0.000997781753540039,1736581555.7466319,0.0009982585906982422,1736581533
d,press,1736581555.7945035,0.0009975433349609375,1736581555.795501,0.04787158966064453,1736581533
g,press,1736581555.8353944,0.0009984970092773438,1736581555.8363929,0.039893388748168945,1736581533
h,press,1736581555.9480944,0.0009949207305908203,1736581555.9490893,0.11170148849487305,1736581533
s,press,1736581555.952082,0.001994609832763672,1736581555.9540765,0.0029926300048828125,1736581533
a,press,1736581555.9590635,0.0009965896606445312,1736581555.9600601,0.004987001419067383,1736581533
f,press,1736581556.0607903,0.002007007598876953,1736581556.0627973,0.10073018074035645,1736581533
d,press,1736581556.0837374,0.0039844512939453125,1736581556.0877218,0.020940065383911133,1736581533
h,press,1736581556.1505504,0.000997781753540039,1736581556.1515481,0.06282854080200195,1736581533
s,press,1736581556.2133846,0.0009958744049072266,1736581556.2143805,0.06183648109436035,1736581533
a,press,1736581556.2163749,0.000997304916381836,1736581556.2173722,0.0019943714141845703,1736581533
d,press,1736581556.2752187,0.0009970664978027344,1736581556.2762158,0.0578465461730957,1736581533
f,press,1736581556.2782097,0.0009968280792236328,1736581556.2792065,0.001993894577026367,1736581533
j,press,1736581556.4028761,0.0009980201721191406,1736581556.4038742,0.12366962432861328,1736581533
h,press,1736581556.4048705,0.001994609832763672,1736581556.4068651,0.0009963512420654297,1736581533
s,press,1736581556.4347913,0.0009965896606445312,1736581556.435788,0.027926206588745117,1736581533
a,press,1736581556.4377837,0.000997304916381836,1736581556.438781,0.0019958019256591797,1736581533
d,press,1736581556.5325305,0.0009970664978027344,1736581556.5335276,0.0937495231628418,1736581533
h,press,1736581556.5863845,0.0009992122650146484,1736581556.5873837,0.0528569221496582,1736581533
s,press,1736581556.6601887,0.0009961128234863281,1736581556.6611848,0.07280492782592773,1736581533
a,press,1736581556.6631796,0.0009968280792236328,1736581556.6641765,0.0019948482513427734,1736581533
h,press,1736581556.7000825,0.001998424530029297,1736581556.702081,0.035906076431274414,1736581533
d,press,1736581556.7788692,0.000997781753540039,1736581556.779867,0.07678818702697754,1736581533
h,press,1736581556.8766124,0.0019910335540771484,1736581556.8786035,0.09674549102783203,1736581533
a,press,1736581556.8796003,0.000997304916381836,1736581556.8805976,0.0009968280792236328,1736581533
s,press,1736581556.9035363,0.0009989738464355469,1736581556.9045353,0.02293872833251953,1736581533
f,press,1736581556.9793353,0.0019931793212890625,1736581556.9813285,0.07480001449584961,1736581533
d,press,1736581557.0611155,0.0,1736581557.0611155,0.07978701591491699,1736581533
g,press,1736581557.0670986,0.0009982585906982422,1736581557.0680969,0.005983114242553711,1736581533
e,press,1736581557.1359148,0.0009975433349609375,1736581557.1369123,0.06781792640686035,1736581533
j,press,1736581557.1379101,0.0009968280792236328,1736581557.138907,0.000997781753540039,1736581533
h,press,1736581557.1488812,0.0009963512420654297,1736581557.1498775,0.009974241256713867,1736581533
s,press,1736581557.1508746,0.0009984970092773438,1736581557.151873,0.0009970664978027344,1736581533
a,press,1736581557.1558619,0.0009975433349609375,1736581557.1568594,0.003988742828369141,1736581533
g,press,1736581557.2306628,0.0009953975677490234,1736581557.2316582,0.07380342483520508,1736581533
f,press,1736581557.2466202,0.000997304916381836,1736581557.2476175,0.014961957931518555,1736581533
s,press,1736581557.348348,0.0009958744049072266,1736581557.3493438,0.10073041915893555,1736581533
d,press,1736581557.3822567,0.0009963512420654297,1736581557.383253,0.0329129695892334,1736581533
f,press,1736581557.474011,0.0019936561584472656,1736581557.4760046,0.09075784683227539,1736581533
g,press,1736581557.528864,0.000997304916381836,1736581557.5298612,0.05285930633544922,1736581533
