event,x,y,speed,button,time,scroll,session_id
move,1446,80,215.60403795967983,,1736580547.77842,,1736580537
move,1406,105,47342.647521069084,,1736580547.7804134,,1736580537
move,1375,123,5133.772050387206,,1736580547.786399,,1736580537
move,1315,153,67376.06941306952,,1736580547.7883916,,1736580537
move,1248,187,3423.0732265825504,,1736580547.8103335,,1736580537
move,1195,212,59197.40989857973,,1736580547.8113308,,1736580537
move,1141,237,9940.557642551392,,1736580547.8173146,,1736580537
move,1110,258,6260.405920557594,,1736580547.8232996,,1736580537
move,1077,278,5524.575670662511,,1736580547.8302813,,1736580537
move,1049,299,5848.3980717899685,,1736580547.83527,,1736580537
move,1013,332,5440.359273977057,,1736580547.8452408,,1736580537
move,979,364,4257.261425760895,,1736580547.8562112,,1736580537
move,950,404,4128.003693216162,,1736580547.8671825,,1736580537
move,910,446,14542.660927785748,,1736580547.8711708,,1736580537
move,880,481,46233.347914157566,,1736580547.8731647,,1736580537
move,842,518,7597.552299071984,,1736580547.88015,,1736580537
move,803,556,2729.5239733606077,,1736580547.899098,,1736580537
move,767,586,46988.135008349,,1736580547.9000952,,1736580537
move,732,615,2680.683421051688,,1736580547.9180467,,1736580537
move,694,642,46819.770200495666,,1736580547.919042,,1736580537
move,665,665,2651.0573332817794,,1736580547.9320085,,1736580537
move,638,687,34955.69440184314,,1736580547.934003,,1736580537
move,603,715,3210.1590972274444,,1736580547.9469674,,1736580537
move,578,740,1222.4139810229417,,1736580547.977892,,1736580537
move,543,768,8977.867584094118,,1736580547.98188,,1736580537
move,510,792,13666.542081131784,,1736580547.9838681,,1736580537
move,480,814,4143.311963565937,,1736580547.993842,,1736580537
move,449,836,3169.6930609548062,,1736580548.0058103,,1736580537
move,417,853,9141.776801292488,,1736580548.0098,,1736580537
move,392,863,3373.714457240251,,1736580548.0167844,,1736580537
move,366,871,3898.366964648839,,1736580548.0237625,,1736580537
move,347,877,3328.5902399226215,,1736580548.0297484,,1736580537
move,332,885,1217.6087431693988,,1736580548.0437102,,1736580537
move,321,892,1634.4002824238548,,1736580548.0516877,,1736580537
move,311,897,622.7919718377655,,1736580548.0696397,,1736580537
move,305,900,960.5109270780677,,1736580548.0776186,,1736580537
move,301,906,7247.916672362191,,1736580548.0786152,,1736580537
move,298,910,2507.3553323768533,,1736580548.0806115,,1736580537
move,293,916,3912.4043301867887,,1736580548.081609,,1736580537
move,284,923,3811.1590262950385,,1736580548.0855963,,1736580537
move,271,934,588.8265199718933,,1736580548.1135216,,1736580537
move,254,943,1134.4870746172307,,1736580548.1304767,,1736580537
move,236,954,21121.73306498657,,1736580548.1314754,,1736580537
move,220,963,18402.769190377756,,1736580548.1334686,,1736580537
move,202,972,877.4297272421362,,1736580548.1554089,,1736580537
move,192,975,1742.6703021151527,,1736580548.1624274,,1736580537
move,187,979,3218.2923429073153,,1736580548.164386,,1736580537
move,186,979,125.32656049242537,,1736580548.1713686,,1736580537
move,185,978,74.63249706227789,,1736580548.1903176,,1736580537
move,181,978,2006.3640277445588,,1736580548.1953104,,1736580537
move,178,975,327.20280968184545,,1736580548.2052777,,1736580537
move,174,973,95.40944926041992,,1736580548.2531507,,1736580537
move,167,968,8602.948802302803,,1736580548.2541463,,1736580537
move,166,967,709.8661562369223,,1736580548.255143,,1736580537
move,166,963,334.20749003984065,,1736580548.2681088,,1736580537
move,166,956,501.32550157944166,,1736580548.2810745,,1736580537
move,166,949,701.790993402811,,1736580548.291049,,1736580537
move,168,943,3173.099004582506,,1736580548.2930422,,1736580537
move,174,937,8502.11409677361,,1736580548.295038,,1736580537
move,180,933,2410.196531497922,,1736580548.2980282,,1736580537
move,195,928,689.2306089770772,,1736580548.3199728,,1736580537
move,208,927,13095.553987045541,,1736580548.3219707,,1736580537
move,231,927,3294.1434864264984,,1736580548.3289459,,1736580537
move,263,927,2468.2812218401164,,1736580548.341912,,1736580537
move,295,927,3208.034036043788,,1736580548.3518846,,1736580537
move,339,934,8935.17486973433,,1736580548.3558762,,1736580537
move,383,948,46387.07891046691,,1736580548.35787,,1736580537
move,412,958,1537.8391076504643,,1736580548.376819,,1736580537
move,431,971,23067.398344824647,,1736580548.3788128,,1736580537
move,440,977,1355.8976213583724,,1736580548.3857944,,1736580537
